trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.rt,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp_3.rt,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
0,0,0,0,1,derartu,самолет,derartu.wav,наперсток,самолет,конверт,black,green,black,derartu = свисток?,0,nevetu,шашлык,vantimu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,asamu,шприц,asamu.wav,одуванчик,флаг,шприц,black,black,green,asamu = клубок?,0,vortule,роза,mubale,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,farimu,конверт,farimu.wav,мяч,конверт,компас,black,green,black,farimu = конверт?,1,ekiste,качели,bokente,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,vortule,роза,vortule.wav,роза,мельница,коридор,green,black,black,vortule = роза?,1,mubale,намордник,kavitu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,topeme,терка,topeme.wav,качели,домино,терка,black,black,green,topeme = терка?,1,reskane,стрела,rantare,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,kavenu,пальма,kavenu.wav,шприц,свисток,пальма,black,black,green,kavenu = домино?,0,limate,удочка,tekuru,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,farantu,точилка,farantu.wav,свисток,точилка,шашлык,black,green,black,farantu = точилка?,1,sankadu,домино,befadu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,pafinu,ремень,pafinu.wav,ремень,маяк,шашлык,green,black,black,pafinu = ремень?,1,morvidu,гранат,avade,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,nevetu,шашлык,nevetu.wav,шашлык,копилка,стрела,green,black,black,nevetu = шашлык?,1,vantimu,пистолет,makevu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,derartu,самолет,derartu.wav,наперсток,самолет,конверт,black,green,black,derartu = свисток?,0,nevetu,шашлык,vantimu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,asamu,шприц,asamu.wav,одуванчик,флаг,шприц,black,black,green,asamu = клубок?,0,vortule,роза,mubale,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,1,1,1,1,1.61815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,farimu,конверт,farimu.wav,мяч,конверт,компас,black,green,black,farimu = конверт?,1,ekiste,качели,bokente,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,down,0,2,2,2,1,2.277715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,vortule,роза,vortule.wav,роза,мельница,коридор,green,black,black,vortule = роза?,1,mubale,намордник,kavitu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,3,3,3,1,2.24234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,topeme,терка,topeme.wav,качели,домино,терка,black,black,green,topeme = терка?,1,reskane,стрела,rantare,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,4,4,4,1,2.15438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kavenu,пальма,kavenu.wav,шприц,свисток,пальма,black,black,green,kavenu = домино?,0,limate,удочка,tekuru,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,right,0,5,5,5,1,2.728195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,farantu,точилка,farantu.wav,свисток,точилка,шашлык,black,green,black,farantu = точилка?,1,sankadu,домино,befadu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,pafinu,ремень,pafinu.wav,ремень,маяк,шашлык,green,black,black,pafinu = ремень?,1,morvidu,гранат,avade,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,down,0,7,7,7,1,1.86476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,nevetu,шашлык,nevetu.wav,шашлык,копилка,стрела,green,black,black,nevetu = шашлык?,1,vantimu,пистолет,makevu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,8,8,8,1,1.819195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,potabu,маяк,potabu.wav,маяк,клубок,наперсток,green,black,black,potabu = маяк?,1,kambipu,колокол,derene,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,left,0,9,9,9,1,1.852565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,derartu,самолет,derartu.wav,наперсток,самолет,конверт,black,green,black,derartu = свисток?,0,nevetu,шашлык,vantimu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""f"",""o"",""r"",""a"",""n"",""t"",""u"",""return""]","[2.3949350000002596,2.6258899999993446,2.8179049999998824,2.9378949999991164,3.347570000001724,3.8098549999995157,4.065859999998793,4.489854999999807]",4.489855,forantu,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,asamu,шприц,asamu.wav,одуванчик,флаг,шприц,black,black,green,asamu = клубок?,0,vortule,роза,mubale,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""p"",""o"",""t"",""a"",""b"",""u"",""return""]","[2.2927600000002712,2.532725000000937,2.6927900000009686,2.7970950000017183,3.132675000000745,3.268674999999348,3.820705000001908]",3.820705,potabu,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,farimu,конверт,farimu.wav,мяч,конверт,компас,black,green,black,farimu = конверт?,1,ekiste,качели,bokente,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""p"",""o"",""t"",""a"",""b"",""u"",""return""]","[3.391939999997703,3.6974300000001676,4.023939999999129,4.103909999997995,4.423914999999397,4.535819999997329,4.714384999999311]",4.714385,potabu,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,vortule,роза,vortule.wav,роза,мельница,коридор,green,black,black,vortule = роза?,1,mubale,намордник,kavitu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""v"",""e"",""r"",""i"",""m"",""e"",""return""]","[3.4748600000020815,3.7542150000008405,3.978240000000369,4.11446000000069,4.322025000001304,4.425924999999552,4.530470000001515]",4.53047,verime,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,topeme,терка,topeme.wav,качели,домино,терка,black,black,green,topeme = терка?,1,reskane,стрела,rantare,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""t"",""o"",""r"",""i"",""m"",""e"",""return""]","[3.65309999999954,4.7168149999997695,5.285485000000335,5.444810000000871,5.652734999999666,5.740614999998797,5.836714999997639]",5.836715,torime,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kavenu,пальма,kavenu.wav,шприц,свисток,пальма,black,black,green,kavenu = домино?,0,limate,удочка,tekuru,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""p"",""o"",""t"",""a"",""b"",""u"",""return""]","[1.6226649999989604,1.8866349999989325,2.49489000000176,2.702610000000277,3.2145799999998417,3.2943300000006275,3.454604999998992]",3.454605,potabu,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,farantu,точилка,farantu.wav,свисток,точилка,шашлык,black,green,black,farantu = точилка?,1,sankadu,домино,befadu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""t"",""o"",""r"",""i"",""m"",""e"",""return""]","[2.9396149999993213,3.4108650000016496,4.34829499999978,4.442719999999099,4.65878000000157,4.748494999999821,4.858700000000681]",4.8587,torime,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,pafinu,ремень,pafinu.wav,ремень,маяк,шашлык,green,black,black,pafinu = ремень?,1,morvidu,гранат,avade,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""p"",""o"",""t"",""a"",""b"",""u"",""return""]","[2.247299999999086,2.4696549999971467,2.949704999999028,3.431024999998101,4.333629999997356,4.40558499999679,4.550124999997934]",4.550125,potabu,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,nevetu,шашлык,nevetu.wav,шашлык,копилка,стрела,green,black,black,nevetu = шашлык?,1,vantimu,пистолет,makevu,0,2020-05-13_12h51.47.900,words,2020.1.2,Win32,60,,,,,,,,"[""v"",""o"",""r"",""a"",""n"",""t"",""u"",""return""]","[3.215789999998435,3.351774999999236,3.5917699999990873,3.7917299999971874,3.967720000000554,4.135689999999215,4.231809999997495,4.383879999997646]",4.38388,vorantu,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
