trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
0,0,0,0,1,kanvidu,аквариум,kanvidu.wav,свисток,аквариум,конверт,black,green,black,kanvidu = аквариум?,1,abadu,кроссворд,kanvidu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,larantu,компас,larantu.wav,компас,клубок,костыль,green,black,black,larantu = утюг?,0,enveku,микрофон,madide,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,enkontu,мяч,enkontu.wav,терка,гранат,мяч,black,black,green,enkontu = мяч?,1,maviru,костыль,invaltu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,venkere,ведро,venkere.wav,ведро,костюм,костыль,green,black,black,venkere = терка?,0,aderu,маяк,larantu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,tanibu,хобот,tanibu.wav,точилка,роза,хобот,black,black,green,tanibu = хобот?,1,trokele,наперсток,nukene,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,lornitu,копилка,lornitu.wav,копилка,веер,шашлык,green,black,black,lornitu = маяк?,0,favatu,клубок,enkade,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,devinde,мельница,devinde.wav,аквариум,ремень,мельница,black,black,green,devinde = конверт?,0,lornitu,копилка,favatu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,takuru,терка,takuru.wav,качели,терка,домино,black,green,black,takuru = точилка?,0,sulvidu,утюг,tevone,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,adiste,колокол,adiste.wav,микрофон,веер,колокол,black,black,green,adiste = колокол?,1,enkontu,мяч,maviru,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kanvidu,аквариум,kanvidu.wav,свисток,аквариум,конверт,black,green,black,kanvidu = аквариум?,1,abadu,кроссворд,kanvidu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,down,2.87537,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
