word;category
аквариум;человек
ананас;природа
антенна;человек
барабан;человек
бинокль;человек
булавка;человек
ведро;человек
веер;человек
газета;человек
гвоздь;человек
гитара;человек
глобус;человек
гранат;природа
домино;человек
жалюзи;человек
кактус;природа
карман;человек
качели;человек
клубок;человек
коготь;природа
колбаса;человек
колодец;человек
колокол;человек
компас;человек
конверт;человек
копилка;человек
коридор;человек
коробка;человек
корона;человек
костер;человек
костыль;человек
кость;природа
костюм;человек
кроссворд;человек
лампа;человек
лейка;человек
маяк;человек
мельница;человек
мешок;человек
микрофон;человек
мяч;человек
намордник;человек
наперсток;человек
наушники;человек
нож;человек
одуванчик;природа
пальма;природа
паутина;природа
пепельница;человек
пистолет;человек
пылесос;человек
ремень;человек
роза;природа
рукав;человек
руль;человек
самолет;человек
сапог;человек
светофор;человек
свисток;человек
скрепка;человек
стадион;человек
стол;человек
стрела;человек
терка;человек
точилка;человек
тыква;природа
удочка;человек
утюг;человек
ухо;природа
фен;человек
флаг;человек
фонтан;человек
форточка;человек
хобот;природа
шахматы;человек
шашлык;человек
шляпа;человек
шприц;человек
якорь;человек
фотоаппарат;человек
