Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes
1;76. вилка (a fork);ж;неод;вилка;a fork;вилка;1;100;вилка 100;100;2,33;1,16;--;4,85;0,48;1,21;0,43;1,01;0,1;4,51;0,83;16;2;5
1;90. газета (1) (a newspaper);ж;неод;газета;a newspaper;газета;1;100;газета 100;100;3,15;1,15;368;4,49;0,79;1,72;0,6;1,05;0,33;4,09;1,14;237,5;3;6
1;96. гитара (a guitar);ж;неод;гитара;a guitar;гитара;1;100;гитара 100;100;2,67;1,11;--;4,06;1,2;1,98;0,77;1,1;0,46;4,61;0,69;22,2;3;6
2;177. карета (a carriage);ж;неод;карета;a carriage;карета;1;100;карета 100;100;3,76;1,2;357;2,66;1,49;1,95;0,61;1,12;0,38;4,43;0,77;9,4;3;6
2;185. кастрюля (a saucepan);ж;неод;кастрюля;a saucepan;кастрюля;1;100;кастрюля 100;100;2,34;0,85;403;4,84;0,58;1,48;0,58;1,03;0,17;4,56;0,64;15,9;3;8
1;293. лейка (a watering-can);ж;неод;лейка;a watering-can ;лейка;1;100;лейка 100;100;2,5;1,1;379;3,95;1,25;1,59;0,73;1,05;0,26;4,39;0,86;1,3;2;5
1;305. лопата (a shovel);ж;неод;лопата;a shovel;лопата;1;100;лопата 100;100;2,28;1,11;289;4,23;0,99;1,45;0,64;1,03;0,22;4,8;0,55;19,5;3;6
1;322. мельница (a mill);ж;неод;мельница;a mill;мельница;1;100;мельница 100;100;3,57;1,06;--;2,73;1,41;2,32;0,78;1,26;0,54;4,48;0,74;10,5;3;7
1;324. метла (a broom);ж;неод;метла;a broom;метла;1;100;метла 100;100;2,56;1,06;302;3,88;1,3;1,73;0,66;1,08;0,34;4,7;0,63;6,7;2;5
1;402. паутина (a spider web);ж;неод;паутина;a spider web;паутина;1;100;паутина 100;100;1,59;0,78;312;4,11;1,08;1,67;0,51;1,07;0,26;4,84;0,47;11,3;4;7
2;471. ракетка (a racket);ж;неод;ракетка;a racket;ракетка;1;100;ракетка 100;100;2,16;0,83;327;3,9;1,21;2,67;0,91;1,25;0,54;4,7;0,86;3,3;3;7
2;480. роза (a rose);ж;неод;роза;a rose;роза;1;100;роза 100;100;3,11;1,17;399;4,41;1,07;1,68;0,58;1,06;0,24;4,71;0,66;42,7;2;4
2;547. спичка (a match);ж;неод;спичка;a match;спичка;1;100;спичка 100;100;2,13;1,11;--;4,44;0,88;1,4;0,49;1,03;0,22;4,8;0,57;20,3;2;6
