Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes;sim_score_mean;sim_score_max;sim_score_sd
2;5. аквариум (an aquarium);разные;неод;аквариум;an aquarium;аквариум;2;100;аквариум 99, рыбки 1;99;3,36;1,19;296;3,97;1,21;2,2;0,72;1,16;0,55;4;1,13;8,3;4;8;0,127022;0,347329;0,076332
1;7. ананас (a pineapple);м;неод;ананас;a pineapple;ананас;2;100;ананас 99, кокос 1;99;2,89;1,14;388;4,25;0,95;2,51;0,9;1,08;0,37;4,73;0,58;3,6;3;6;0,069819;0,3725;0,094645
1;8. антенна (an antenna);ж;неод;антенна;an antenna;антенна;2;100;антенна 99, провода 1;99;2,23;1,14;173;3,68;1,21;2,32;0,75;1,25;0,59;3,89;1,38;8,5;3;6;0,148401;0,405846;0,092699
2;23. барабан (a drum);разные;неод;барабан;a drum;барабан;3;100;барабан 98, походный набор военного барабанщика 1, ударные 1;98;2,55;1,03;382;3,57;1,34;1,58;0,62;1,11;0,51;4,49;0,69;15,7;3;7;0,152616;0,463241;0,09184
1;32. бинокль (binoculars);м;неод;бинокль;binoculars;бинокль;1;100;бинокль 100;100;3,04;1;414;3,48;1,39;2,32;0,75;1,12;0,38;4,59;0,78;10,6;2;6;0,131196;0,440037;0,088198
1;49. булавка (a pin);ж;неод;булавка;a pin;булавка;3;100;булавка 98, англейка 1, игла 1;98;2,36;1,14;115;4,23;1,11;2,1;0,59;1,09;0,35;4,59;1,03;4,9;3;7;0,129438;0,340094;0,091561
2;62. ведро (a bucket);разные;неод;ведро;a bucket;ведро;3;100;ведро 98, бидон 1, кастрюля 1;98;2,46;1,01;--;4,12;0,98;1,32;0,58;1,05;0,33;4,12;0,93;34,1;2;5;0,134022;0,433939;0,096456
1;64. веер (a fan);м;неод;веер;a fan;веер;2;100;веер 99, нет ответа 1;99;2,73;1,21;527;3,82;1,32;2,28;0,6;1,12;0,48;4,48;0,87;6,6;2;5;0,14569;0,333081;0,074045
1;90. газета (1) (a newspaper);ж;неод;газета;a newspaper;газета;1;100;газета 100;100;3,15;1,15;368;4,49;0,79;1,72;0,6;1,05;0,33;4,09;1,14;237,5;3;6;0,041992;0,277385;0,059916
2;94. гвоздь (a nail);разные;неод;гвоздь;a nail;гвоздь;3;100;гвоздь 98, булавка 1, карандаш 1;98;2,24;1,16;99,1;4,22;1,02;1,81;0,55;1,03;0,22;4,82;0,5;24,2;1;5;0,133877;0,341318;0,083467
1;96. гитара (a guitar);ж;неод;гитара;a guitar;гитара;1;100;гитара 100;100;2,67;1,11;--;4,06;1,2;1,98;0,77;1,1;0,46;4,61;0,69;22,2;3;6;0,104906;0,389369;0,08057
1;98. глобус (a globe);м;неод;глобус;a globe;глобус;1;100;глобус 100;100;3,05;1,22;403;4,07;1,13;2,48;0,66;1,12;0,39;4,96;0,2;5,5;2;6;0,131113;0,309913;0,072027
1;105. гранат (a pomegranate);м;неод;гранат;a pomegranate;гранат;2;100;гранат 99, инжир 1;99;3,76;1,22;--;4,15;1,1;2,34;0,78;1,16;0,56;4,5;0,78;2,5;2;6;0,105189;0,359341;0,064739
2;127. домино (dominoes);ср;неод;домино;dominoes;домино;2;100;домино 99, лото 1;99;2,3;1,15;328;3,99;1,16;2,24;0,73;1,25;0,59;4,34;1,03;3,4;3;6;0,083642;0,468071;0,08117
2;140. жалюзи (a window blind);разные;неод;жалюзи;a window blind;жалюзи;3;100;жалюзи 97, штора 2, окно 1;97;2,84;0,96;432;4,19;1,22;4,12;0,97;1,36;0,76;4,36;1,06;2,1;3;6;0,151188;0,387385;0,072113
2;168. кактус (a cactus);разные;неод;кактус;a cactus;кактус;3;100;кактус 98, растение 1, цветок 1;98;2,73;1,01;249;4,47;0,87;2,15;0,74;1,12;0,48;4,03;1,16;4,6;2;6;0,089249;0,432704;0,095461
2;178. карман (a pocket);разные;неод;карман;a pocket;карман;2;100;карман 99, пуговица 1;99;2,21;1,01;325;4,7;0,65;1,47;0,52;1,14;0,49;3,68;1,18;120,5;2;6;0,106926;0,398415;0,096855
2;187. качели (a swing);мн;неод;качели;a swing;качели;2;100;качели 99, качеля 1;99;2,88;0,95;--;4,24;0,92;1,23;0,47;1,07;0,26;4,29;0,91;5,1;3;6;0,125389;0,35187;0,082634
